0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
179,0,3,3,4,6,5,8,7,8,11,10,11,13,13,15,17,16,17,20,20,22,22,24,25,25,27,27,29,28,29,32,32,34,35,35,37,36,38,38,40,40,43,43,43,44,47,48,49,49,50,50,53,52,53,56,57,58,57,60,61,60,63,64,65,65,66,67,68,69,70,72,72,72,75,75,77,76,79,79,80,81,81,83,85,86,85,87,88,90,91,92,92,92,93,94,97,98,99,100,99,101,101,102,105,104,106,108,107,108,110,110,113,113,115,115,117,116,117,118,119,120,122,123,125,126,125,126,127,129,131,132,133,132,134,135,137,136,138,138,141,140,143,142,145,145,147,147,148,150,151,151,151,152,153,155,156,157,159,159,160,160,163,163,163,165,165,167,169,170,170,171,171,172,175,175,175,178,178,0
179,0,4,4,4.5,5,5,9,6.5,9,10.5,10,10.5,13,12.5,16,17.5,17,17.5,19,21,23,23,24,25,25,27.5,27.5,28.5,28,28.5,32,32,34,34,34,37,36.5,37.5,37.5,40,39.5,43.5,44,44,44.5,48,48,49,49,49,50,53,53,54,56,56,58,56,59,60,59,63.5,64,65.5,65.5,66,66,68,68.5,71,72.5,72,72.5,74,74,77,75,78,78,81,81,81,83.5,84.5,85.5,84.5,87.5,89,90,90,91,91,91,92,93,96,98,98.5,101,98.5,101,101,103,104.5,103,105,107.5,107.5,108,109,109,113,113,114.5,114.5,118,115.5,118,118.5,119.5,119.5,122.5,123.5,124,127,124,127,127.5,130,131,132,132,132,133.5,134,137,137,138.5,138.5,140,139.5,143,143,145,145,147.5,147.5,148,151,151.5,152,151.5,152,153,155.5,156,156,159,159,159,159,163,163,163,165,165,168,169,170,170,170,170,171,175,175,175,179,179,175.5
179.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,-1,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,1,1,-1,0,0,0,-1,1,0,1,0,1,1,-1,0,0,1,1,0,1,-1,0,0,1,-1,1,0,0,-1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,-1,1,1,0,-1,-1,0,0,-1,1,1,1,-1,1,0,-1,-1,1,-1,1,-1,-1,0,1,1,1,-1,-1,1,1,-1,1,0,1,0,1,1,1,0,1,0,-1,0,1,1,-1,-1,0,0,-1,0,0,0,-1,-1,1,1,1,-1,1,0,0,-1,-1,1,-1,0,1,0,0,0,-1,-1,0,1,-1,0,1,1,1,-1,0,-1,-1,1,0,1,1,1,1,-1,0,1,-1,1,1,-1,1,-1,0,-1,1,0,1,-1,-1,1,0,-1,1,1,0,1
-2,-1,-1,0,1,-2,-2,0,2,2,2,1,0,0,-2,-1,-1,0,1,-1,0,0,1,-2,2,1,1,1,2,2,-2,1,1,0,2,1,0,-2,-1,0,2,-2,0,0,0,-2,1,1,2,-1,1,-1,0,2,2,0,0,0,1,-1,0,0,0,0,0,-1,1,-1,2,1,-1,0,-1,-1,0,0,0,0,0,-2,1,-1,-1,-2,0,-1,1,-1,0,-1,2,0,0,0,0,1,1,-2,2,-1,0,1,2,2,2,0,2,-1,-1,0,2,0,-2,-1,0,-1,-2,-1,0,-1,-1,0,0,2,2,-2,0,1,1,-2,-1,0,-1,1,1,0,1,1,-2,0,1,2,0,-1,1,1,0,-2,0,-2,-2,0,0,0,0,0,1,-1,0,1,-2,2,0,-2,0,-2,0,0,0,1,0,-2,-2,2,1,-1,1,2,0,0
-1,-1,-1,-1,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,1,1,-1,0,0,0,-1,1,0,1,0,1,1,-1,0,0,1,1,0,1,-1,0,0,1,-1,1,0,0,-1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,-1,1,1,0,-1,-1,0,0,-1,1,1,1,-1,1,0,-1,-1,1,-1,1,-1,-1,0,1,1,1,-1,-1,1,1,-1,1,0,1,0,1,1,1,0,1,0,-1,0,1,1,-1,-1,0,0,-1,0,0,0,-1,-1,1,1,1,-1,1,0,0,-1,-1,1,-1,0,1,0,0,0,-1,-1,0,1,-1,0,1,1,1,-1,0,-2,-2,0,-1,0,0,0,0,-2,-1,0,-2,1,1,-1,1,-1,0,-1,1,0,1,-1,-1,1,0,-1,1,1,0,-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
