0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1,2,2,3,4,5,5,8,7,8,11,10,13,12,14,15,17,17,18,18,19,21,21,22,23,26,26,27,27,30,30,32,33,34,34,35,35,36,38,38,39,41,42,43,43,45,47,47,47,49,51,50,52,53,54,56,56,58,58,59,59,61,62,64,65,66,66,68,67,70,70,70,73,72,73,74,75,77,77,78,80,80,83,83,84,85,87,86,87,90,91,92,91,93,95,96,96,96,99,99,101,101,103,103,103,106,105,108,108,110,111,110,112,113,114,116,116,117,119,118,119,121,123,122,123,125,126,126,128,128,130,132,132,133,134,136,137,136,138,138,140,140,142,143,144,146,146,148,147,148,149,152,152,152,155,156,156,158,159,159,160,160,163,164,164,164,167,166,169,170,169,171,172,174,173,175,176,178,178,179
0.5,3,3,4,5,5,5,8,8,8,10.5,10,13,12.5,14,14,18,18,19,19,19,20,21.5,22,22.5,26.5,27,27,27,29.5,29.5,33,33,33,33,35,35,37,37,37,39.5,42,42.5,44,44,45,48,48,48,49.5,51,49.5,52.5,53.5,54,56.5,56.5,58,58,58,60,60.5,63,64.5,64.5,65.5,65.5,69,66,70,70,70.5,72.5,72,72.5,73,76,76,76.5,78.5,81,81,83,83,83,84,87.5,87,87.5,89,90.5,93,90.5,94,94,97,97,97,98.5,98.5,100.5,100.5,103,103.5,103,105,104.5,107.5,107.5,110,110.5,110,111,114,114,115,115,117,120,117,120,122,123.5,122,123.5,126,126,126.5,127.5,127.5,129.5,133,133,132.5,134.5,136,137,136,137,137,140.5,140.5,143,143,144,146,146.5,147,147,147.5,148,151,152,152,154,156,156.5,158,158,158,161,161,163.5,164.5,164.5,164.5,166,166,169.5,170,169.5,170.5,172.5,173.5,173.5,175.5,176,177.5,177.5,178
13.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,-1,1,0,0,0,1,-1,1,-1,-1,1,1,-1,1,1,0,-1,-1,1,-1,-1,0,1,0,0,0,1,-1,-1,1,1,0,0,-1,0,1,1,-1,1,1,1,-1,-1,1,1,-1,0,0,0,-1,-1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,1,0,0,-1,1,1,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,-1,1,-1,0,-1,1,0,1,0,-1,0,1,1,0,-1,1,-1,1,0,-1,1,1,0,0,-1,-1,-1,1,1,1,1,-1,1,0,1,-1,0,-1,-1,0,-1,-1,1,-1,-1,0,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,0,0,1,1,-1,1,-1,0,-1,1,0,1,0
1,2,-1,1,0,0,2,-1,0,1,2,-2,1,-1,0,0,2,-1,1,0,-1,0,-1,0,0,-2,1,1,-1,1,0,2,0,0,2,1,0,0,-1,1,2,1,-1,1,0,2,0,-2,1,1,-2,0,0,0,0,0,1,-1,0,-2,1,-2,-1,1,0,0,-1,1,0,-1,0,-2,0,2,-1,-1,2,-2,-1,-1,0,1,0,0,-2,0,-1,-1,0,0,0,0,-1,0,1,-1,1,0,-2,-1,0,0,-2,-2,0,2,1,1,0,0,-2,1,-1,1,-1,2,-1,-1,0,2,2,1,0,2,-1,0,-1,0,2,2,0,-1,0,-2,0,2,2,0,1,-2,2,0,2,-2,0,-2,0,-1,0,0,2,0,-1,1,1,0,-1,0,0,1,-1,0,0,-1,0,0,2,0,-1,0,0,-1,0,0,0,-2,2,-1,0,-1
0,1,0,0,1,-1,1,0,0,0,1,-1,1,-1,-1,1,1,-1,1,1,0,-1,-1,1,-1,-1,0,1,0,0,0,1,-1,-1,1,1,0,0,-1,0,1,1,-1,1,1,1,-1,-1,1,1,-1,0,0,0,-1,-1,0,0,-1,-1,1,-1,-1,1,-1,0,-1,0,1,0,0,-1,1,1,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,-1,1,-1,0,-1,1,0,1,0,-1,0,1,1,0,-1,1,-1,1,0,-1,1,1,0,0,-1,-1,-1,1,1,1,1,-1,1,0,1,-1,0,-1,-1,0,-1,-1,1,-1,-1,0,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,0,0,1,1,-1,1,-1,0,-1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
